Date,Open,High,Low,Close,Adj Close,Volume
2012-12-03,7582.64990234375,7628.2900390625,7562.18994140625,7599.91015625,7599.88134765625,2437800
2012-12-04,7572.10986328125,7600.97998046875,7536.66015625,7600.97998046875,7600.951171875,2494600
2012-12-05,7575.6298828125,7650.1201171875,7567.4599609375,7649.0498046875,7649.02099609375,3147200
2012-12-06,7660.97021484375,7673.6201171875,7616.7900390625,7623.259765625,7623.23095703125,2726600
2012-12-07,7640.25,7672.919921875,7631.6298828125,7642.259765625,7642.23095703125,2334600
2012-12-10,7658.39013671875,7669.0498046875,7603.25,7609.5,7609.47119140625,1913200
2012-12-11,7621.0,7630.66015625,7556.669921875,7613.68994140625,7613.6611328125,2256200
2012-12-12,7653.89990234375,7696.02001953125,7645.5400390625,7690.18994140625,7690.1611328125,2206800
2012-12-13,7713.68994140625,7757.08984375,7699.41015625,7757.08984375,7757.06103515625,2968600
2012-12-14,7722.8798828125,7723.740234375,7686.31982421875,7698.77001953125,7698.7412109375,2683200
2012-12-17,7664.97021484375,7683.31982421875,7603.509765625,7631.27978515625,7631.2509765625,2267000
2012-12-18,7620.2900390625,7643.740234375,7616.0400390625,7643.740234375,7643.71142578125,2017800
2012-12-19,7671.1298828125,7685.6298828125,7647.009765625,7677.47021484375,7677.44140625,2504600
2012-12-20,7646.1298828125,7646.1298828125,7574.56005859375,7595.4599609375,7595.43115234375,2252400
2012-12-21,7592.56982421875,7608.81005859375,7491.52001953125,7519.93017578125,7519.90185546875,2356200
2012-12-24,7542.66015625,7566.08984375,7520.6201171875,7535.52001953125,7535.49169921875,1590800
2012-12-25,7556.240234375,7654.60009765625,7543.830078125,7636.56982421875,7636.541015625,1870600
2012-12-26,7646.509765625,7683.08984375,7633.830078125,7634.18994140625,7634.1611328125,1974200
2012-12-27,7634.7998046875,7661.009765625,7622.72998046875,7648.41015625,7648.38134765625,1801600
2012-12-28,7700.8701171875,7708.31005859375,7665.0400390625,7699.5,7699.47119140625,1978600
2013-01-02,7738.0498046875,7793.47998046875,7715.259765625,7779.22021484375,7779.19140625,2194600
2013-01-03,7826.33984375,7855.16015625,7815.2900390625,7836.83984375,7836.810546875,2964400
2013-01-04,7818.27001953125,7818.27001953125,7773.06005859375,7805.990234375,7805.96142578125,2696800
2013-01-07,7797.0498046875,7797.0498046875,7725.47021484375,7755.08984375,7755.06103515625,2421000
2013-01-08,7737.06982421875,7751.7998046875,7692.97998046875,7721.66015625,7721.63134765625,2211200
2013-01-09,7726.39990234375,7763.97021484375,7703.22998046875,7738.64013671875,7738.611328125,2471400
2013-01-10,7780.97998046875,7825.06005859375,7760.08984375,7811.64013671875,7811.611328125,3319400
2013-01-11,7843.56982421875,7845.35986328125,7801.68994140625,7819.14990234375,7819.12109375,2405200
2013-01-14,7795.68017578125,7823.97021484375,7731.31982421875,7823.97021484375,7823.94091796875,2142800
2013-01-15,7823.509765625,7823.509765625,7744.39013671875,7765.02001953125,7764.9912109375,2520200
2013-01-16,7766.08984375,7769.18017578125,7700.43017578125,7700.43017578125,7700.4013671875,2272200
2013-01-17,7748.56982421875,7774.97021484375,7603.27001953125,7616.64013671875,7616.611328125,2929200
2013-01-18,7697.27978515625,7732.8701171875,7676.10986328125,7732.8701171875,7732.84130859375,2113400
2013-01-21,7725.35986328125,7739.3701171875,7674.18017578125,7724.919921875,7724.89111328125,1515400
2013-01-22,7746.7900390625,7759.47021484375,7699.25,7759.10009765625,7759.0712890625,1580400
2013-01-23,7773.2001953125,7773.2001953125,7730.10009765625,7744.18017578125,7744.1513671875,1655600
2013-01-24,7717.0400390625,7724.68017578125,7653.6201171875,7695.990234375,7695.96142578125,1862000
2013-01-25,7695.25,7704.31005859375,7637.2001953125,7672.580078125,7672.55126953125,1697200
2013-01-28,7685.669921875,7717.35009765625,7685.669921875,7714.669921875,7714.64111328125,1602400
2013-01-29,7744.14990234375,7802.0,7739.60009765625,7802.0,7801.97119140625,1904200
2013-01-30,7832.9501953125,7847.2099609375,7804.7099609375,7832.97998046875,7832.95068359375,2252800
2013-01-31,7832.8701171875,7850.02001953125,7800.89990234375,7850.02001953125,7849.99072265625,2116800
